timestamp,eta_1.0_T0_10K_ffsct_0.100,eta_1.0_T0_10K_ffsct_0.068,eta_1.0_T0_10K_ffsct_0.047,eta_1.0_T0_80K_ffsct_0.100,eta_1.0_T0_80K_ffsct_0.068,eta_1.0_T0_80K_ffsct_0.047,eta_1.0_T0_400K_ffsct_0.100,eta_1.0_T0_400K_ffsct_0.068,eta_1.0_T0_400K_ffsct_0.047,eta_0.1_T0_10K_ffsct_0.100,eta_0.1_T0_80K_ffsct_0.100,eta_0.1_T0_400K_ffsct_0.100,eta_0.01_T0_10K_ffsct_0.100,eta_0.01_T0_80K_ffsct_0.100,eta_0.01_T0_400K_ffsct_0.100,eta_0.001_T0_10K_ffsct_0.100,eta_0.001_T0_80K_ffsct_0.100,eta_0.001_T0_400K_ffsct_0.100
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.292,0.195,0.13,0.29,0.196,0.137,0.288,0.197,0.137,,0.302,0.299,0.348,0.349,0.361,0.473,0.539,0.463
,0.363,0.249,0.185,0.351,0.249,0.188,0.35,0.25,0.188,,0.364,0.363,0.432,0.433,0.458,0.603,0.685,0.855
,0.405,0.296,0.229,0.394,0.292,0.234,0.393,0.293,0.233,,0.407,0.407,0.489,0.496,0.526,0.66,0.746,0.951
,0.442,0.336,0.266,0.432,0.331,0.272,0.432,0.331,0.272,,0.45,0.45,0.531,0.537,0.567,0.696,0.78,0.989
,0.476,0.372,0.302,0.467,0.368,0.308,0.467,0.368,0.308,,0.482,0.488,0.566,0.574,0.599,0.718,0.806,1.017
,0.51,0.406,0.335,0.501,0.402,0.341,0.5,0.403,0.341,,0.511,0.522,0.593,0.603,0.627,0.739,0.828,1.042
,0.542,0.438,0.365,0.534,0.43,0.372,0.534,0.431,0.372,,0.542,0.552,0.617,0.628,0.651,0.76,0.851,1.065
,0.57,0.467,0.393,0.563,0.457,0.399,0.562,0.459,0.401,,0.569,0.578,0.638,0.649,0.672,0.782,0.872,1.089
,0.596,0.496,0.42,0.589,,,0.589,,,,0.594,0.602,,0.669,0.693,,0.893,1.112
,0.622,0.523,0.447,0.615,,,0.614,,,,0.618,0.626,,0.69,0.714,,0.914,1.134
,0.646,0.548,0.47,0.64,,,0.64,,,,0.641,0.648,,0.711,0.734,,0.933,1.156
,0.668,0.572,0.494,0.664,,,0.663,,,,0.663,0.669,,0.73,0.752,,0.954,1.178
,0.69,0.594,0.518,0.687,,,0.686,,,,0.684,0.69,,0.749,0.771,,0.974,1.199
,0.712,0.615,0.542,0.709,,,0.708,,,,0.704,0.71,,0.767,0.789,,0.992,1.22
,0.734,0.637,0.553,0.73,,,0.729,,,,0.724,0.73,,0.785,0.807,,1.007,1.24
,0.755,0.659,0.553,0.75,,,0.75,,,,0.743,0.749,,0.802,0.825,,1.022,1.258
,0.775,0.68,0.553,0.769,,,0.77,,,,0.761,0.766,,0.821,0.843,,1.035,1.276
,0.795,0.7,0.553,0.789,,,0.789,,,,0.778,0.784,,0.838,0.861,,1.048,1.294
,0.814,0.719,0.553,0.807,,,0.795,,,,0.796,0.795,,0.855,0.879,,1.06,1.31
,0.832,0.739,0.553,0.825,,,0.795,,,,0.814,0.795,,0.871,0.895,,1.072,1.327
,0.851,0.758,0.553,0.844,,,0.795,,,,0.831,0.795,,0.888,0.911,,1.08,1.341
,0.87,0.778,0.553,0.863,,,0.795,,,,0.848,0.795,,0.903,0.926,,1.088,1.354
,0.889,0.797,0.553,0.882,,,,,,,0.865,0.795,,0.917,0.941,,1.099,1.367
,0.908,0.817,0.553,0.901,,,,,,,0.882,0.795,,0.931,0.954,,1.11,1.381
,0.925,0.836,0.553,0.918,,,,,,,0.897,0.795,,0.944,0.967,,1.121,1.394
,0.941,0.856,0.553,0.935,,,,,,,0.913,0.795,,0.958,0.982,,1.129,1.404
,0.958,0.875,0.553,0.952,,,,,,,0.928,0.795,,0.973,0.997,,1.137,1.414
,0.975,0.893,0.553,0.968,,,,,,,0.943,0.795,,0.988,1.01,,1.148,1.422
,0.992,0.91,0.553,0.983,,,,,,,0.958,0.795,,1.003,1.021,,1.159,1.43
,1.008,0.926,0.553,0.999,,,,,,,0.973,0.795,,1.018,1.032,,1.169,1.438
,1.023,0.942,0.553,1.013,,,,,,,0.988,0.795,,1.031,1.04,,1.178,1.444
,1.035,0.958,0.553,1.027,,,,,,,0.988,0.795,,1.041,1.048,,1.186,1.451
,1.045,0.973,0.553,1.041,,,,,,,0.988,0.795,,1.05,1.055,,1.194,1.459
,1.055,0.988,0.553,1.054,,,,,,,0.988,0.795,,1.06,1.062,,1.202,1.467
,1.066,0.989,0.553,1.066,,,,,,,0.988,0.795,,1.068,1.069,,1.211,1.475
,1.077,0.989,0.553,1.08,,,,,,,0.988,0.795,,1.077,1.076,,1.218,1.483
,1.089,0.989,0.553,1.093,,,,,,,0.988,0.795,,1.084,1.08,,1.223,1.49
,1.102,,0.553,1.105,,,,,,,,0.795,,1.091,1.08,,1.229,1.497
,1.107,,0.553,1.113,,,,,,,,0.795,,1.098,1.083,,1.236,1.503
,1.107,,0.553,1.119,,,,,,,,0.795,,1.105,1.091,,1.243,1.51
,1.107,,0.553,1.129,,,,,,,,0.795,,1.113,1.097,,1.25,1.516
,1.107,,0.553,1.138,,,,,,,,0.795,,1.114,1.104,,1.256,1.522
,1.107,,0.553,1.146,,,,,,,,0.795,,1.114,1.11,,1.262,1.528
,1.107,,0.553,1.154,,,,,,,,0.795,,1.114,1.117,,1.267,1.534
,1.107,,,1.161,,,,,,,,0.795,,1.114,1.123,,1.272,1.54
,1.107,,,1.169,,,,,,,,0.795,,1.114,1.128,,1.277,1.545
,,,,1.177,,,,,,,,0.795,,1.114,1.136,,1.281,1.551
,,,,1.184,,,,,,,,0.795,,1.114,1.142,,1.286,1.557
,,,,1.191,,,,,,,,0.795,,1.114,1.149,,1.292,1.565
,,,,1.198,,,,,,,,0.795,,1.114,1.154,,1.296,1.57
,,,,1.205,,,,,,,,0.795,,1.114,1.16,,1.301,1.576
,,,,1.21,,,,,,,,0.795,,1.114,1.165,,1.305,1.582
,,,,1.215,,,,,,,,0.795,,1.114,1.171,,1.309,1.587
,,,,1.22,,,,,,,,0.795,,1.114,1.177,,1.314,1.591
,,,,1.224,,,,,,,,0.795,,1.114,1.182,,1.318,1.595
,,,,1.228,,,,,,,,0.795,,1.114,1.187,,1.322,1.599
,,,,1.232,,,,,,,,0.795,,1.114,1.189,,1.326,1.603
,,,,1.232,,,,,,,,0.795,,1.114,1.189,,1.33,1.608
,,,,1.232,,,,,,,,0.795,,1.114,1.189,,1.334,1.613
,,,,1.232,,,,,,,,0.795,,1.114,1.189,,1.338,1.617
,,,,1.232,,,,,,,,0.795,,1.114,1.189,,1.342,1.622
,,,,1.232,,,,,,,,0.795,,1.114,1.19,,1.345,1.627
,,,,1.232,,,,,,,,0.795,,1.114,1.19,,1.349,1.632
,,,,,,,,,,,,0.795,,1.114,1.19,,1.353,1.638
,,,,,,,,,,,,0.795,,1.114,1.19,,1.356,1.643
,,,,,,,,,,,,0.795,,1.114,1.19,,1.36,1.647
,,,,,,,,,,,,0.795,,1.114,1.19,,1.363,1.651
,,,,,,,,,,,,0.795,,1.114,1.19,,1.367,1.654
,,,,,,,,,,,,0.795,,1.114,1.19,,1.37,1.658
,,,,,,,,,,,,0.795,,1.114,1.19,,1.374,1.661
,,,,,,,,,,,,0.795,,1.114,1.19,,1.377,1.664
,,,,,,,,,,,,0.795,,1.114,1.19,,1.381,1.667
,,,,,,,,,,,,0.795,,1.114,1.19,,1.384,1.67
,,,,,,,,,,,,0.795,,1.114,1.19,,1.387,1.673
,,,,,,,,,,,,0.795,,1.114,1.19,,1.391,1.675
,,,,,,,,,,,,0.795,,1.114,1.19,,1.394,1.678
,,,,,,,,,,,,0.795,,1.115,1.19,,1.397,1.681
,,,,,,,,,,,,0.795,,1.12,1.19,,1.4,1.684
,,,,,,,,,,,,0.795,,1.127,1.19,,1.404,1.687
,,,,,,,,,,,,0.795,,1.134,1.19,,1.407,1.689
,,,,,,,,,,,,0.795,,1.141,1.19,,1.41,1.692
,,,,,,,,,,,,0.795,,1.147,1.19,,1.414,1.695
,,,,,,,,,,,,0.795,,1.152,1.19,,1.417,1.698
,,,,,,,,,,,,0.795,,1.152,1.19,,1.42,1.7
,,,,,,,,,,,,0.795,,1.152,1.19,,1.423,1.703
,,,,,,,,,,,,0.795,,1.152,1.19,,1.426,1.705
,,,,,,,,,,,,0.795,,1.152,1.19,,1.429,1.708
,,,,,,,,,,,,0.795,,,1.19,,1.432,1.71
,,,,,,,,,,,,0.795,,,1.19,,1.435,1.713
,,,,,,,,,,,,0.795,,,1.19,,1.438,1.715
,,,,,,,,,,,,0.795,,,1.19,,1.441,1.718
,,,,,,,,,,,,0.795,,,1.19,,1.443,1.721
,,,,,,,,,,,,0.795,,,1.19,,1.446,1.723
,,,,,,,,,,,,0.795,,,1.19,,1.449,1.725
,,,,,,,,,,,,0.795,,,1.19,,1.452,1.728
,,,,,,,,,,,,0.795,,,1.19,,1.454,1.73
,,,,,,,,,,,,0.795,,,1.19,,1.457,1.733
,,,,,,,,,,,,0.795,,,1.19,,1.46,1.735
,,,,,,,,,,,,0.795,,,1.19,,1.462,1.737
,,,,,,,,,,,,0.795,,,1.19,,1.465,1.74
,,,,,,,,,,,,0.795,,,1.19,,1.467,1.742
,,,,,,,,,,,,0.795,,,1.19,,1.47,1.744
,,,,,,,,,,,,0.795,,,1.19,,1.473,1.747
,,,,,,,,,,,,0.795,,,1.19,,1.475,1.749
,,,,,,,,,,,,0.795,,,1.19,,1.478,1.751
,,,,,,,,,,,,0.795,,,1.19,,1.48,1.754
,,,,,,,,,,,,0.795,,,1.19,,1.482,1.756
,,,,,,,,,,,,0.795,,,1.19,,1.485,1.758
,,,,,,,,,,,,0.795,,,1.19,,1.488,1.76
,,,,,,,,,,,,0.795,,,1.19,,1.49,1.762
,,,,,,,,,,,,0.795,,,1.19,,1.493,1.764
,,,,,,,,,,,,0.795,,,1.19,,1.495,1.767
,,,,,,,,,,,,0.795,,,1.19,,1.497,1.769
,,,,,,,,,,,,0.795,,,1.19,,1.5,1.771
,,,,,,,,,,,,0.795,,,1.19,,1.502,1.774
,,,,,,,,,,,,0.795,,,1.19,,1.504,1.776
,,,,,,,,,,,,0.795,,,1.19,,1.507,1.778
,,,,,,,,,,,,0.795,,,1.19,,1.509,1.78
,,,,,,,,,,,,0.795,,,1.19,,1.511,1.782
,,,,,,,,,,,,0.795,,,1.19,,1.513,1.784
,,,,,,,,,,,,0.795,,,1.19,,1.516,1.786
,,,,,,,,,,,,0.795,,,1.19,,1.518,1.789
,,,,,,,,,,,,0.795,,,1.19,,1.52,1.791
,,,,,,,,,,,,0.795,,,1.194,,1.522,1.793
,,,,,,,,,,,,0.795,,,1.199,,1.525,1.795
,,,,,,,,,,,,0.795,,,1.204,,1.527,1.798
,,,,,,,,,,,,0.795,,,1.209,,1.529,1.8
,,,,,,,,,,,,0.795,,,1.213,,1.531,1.802
,,,,,,,,,,,,0.795,,,1.218,,1.533,1.804
,,,,,,,,,,,,0.795,,,1.222,,1.535,1.806
,,,,,,,,,,,,0.795,,,1.225,,1.537,1.808
,,,,,,,,,,,,0.795,,,1.229,,1.539,1.81
,,,,,,,,,,,,0.795,,,1.232,,1.541,1.813
,,,,,,,,,,,,0.795,,,1.235,,1.544,1.815
,,,,,,,,,,,,0.795,,,1.238,,1.546,1.817
,,,,,,,,,,,,0.795,,,1.242,,1.548,1.819
,,,,,,,,,,,,0.795,,,1.245,,1.55,1.822
,,,,,,,,,,,,0.795,,,1.249,,1.552,1.824
,,,,,,,,,,,,0.795,,,1.252,,1.554,1.826
,,,,,,,,,,,,0.795,,,1.255,,1.556,1.828
,,,,,,,,,,,,0.795,,,1.257,,1.558,1.83
,,,,,,,,,,,,0.795,,,1.26,,1.56,1.832
,,,,,,,,,,,,0.795,,,1.263,,1.562,1.834
,,,,,,,,,,,,0.795,,,1.266,,1.564,1.836
,,,,,,,,,,,,0.795,,,1.269,,,1.838
,,,,,,,,,,,,0.795,,,1.272,,,1.841
,,,,,,,,,,,,0.795,,,1.273,,,1.843
,,,,,,,,,,,,0.795,,,1.273,,,1.845
,,,,,,,,,,,,0.795,,,1.273,,,1.847
,,,,,,,,,,,,0.795,,,1.273,,,1.849
,,,,,,,,,,,,0.795,,,1.273,,,1.851
,,,,,,,,,,,,0.795,,,1.273,,,1.853
,,,,,,,,,,,,0.795,,,1.273,,,1.855
,,,,,,,,,,,,0.795,,,1.273,,,1.857
,,,,,,,,,,,,0.795,,,1.273,,,1.859
,,,,,,,,,,,,0.795,,,1.273,,,1.861
,,,,,,,,,,,,0.795,,,1.274,,,1.863
,,,,,,,,,,,,0.795,,,1.277,,,1.865
,,,,,,,,,,,,0.795,,,1.28,,,1.867
,,,,,,,,,,,,0.795,,,1.282,,,1.869
,,,,,,,,,,,,0.795,,,1.285,,,1.871
,,,,,,,,,,,,0.795,,,1.287,,,1.873
,,,,,,,,,,,,0.795,,,1.29,,,1.875
,,,,,,,,,,,,0.795,,,1.293,,,1.877
,,,,,,,,,,,,0.795,,,1.295,,,1.879
,,,,,,,,,,,,0.795,,,1.298,,,1.88
,,,,,,,,,,,,0.795,,,1.301,,,
,,,,,,,,,,,,0.795,,,1.303,,,
,,,,,,,,,,,,0.795,,,1.306,,,
,,,,,,,,,,,,0.795,,,1.308,,,
,,,,,,,,,,,,0.795,,,1.31,,,
,,,,,,,,,,,,0.795,,,1.313,,,
,,,,,,,,,,,,0.795,,,1.315,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
